Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31.0,,Travel_Rarely,670,,26,1.0,Life Sciences,1,16,,Male,31,3,1,,3.0,Divorced,2911.0,15170,1,Y,No,17,,4,80,1,5.0,1,2,5.0,2,4,3
,No,Travel_Rarely,1346,Research & Development,19,,Medical,1,18,2.0,Male,93,3,1,Laboratory Technician,,,2661.0,8758,0,Y,No,11,3.0,3,80,1,3.0,2,3,,2,1,2
28.0,Yes,Travel_Rarely,103,Research & Development,24,3.0,Life Sciences,1,19,3.0,Male,50,2,1,,3.0,,2028.0,12947,5,Y,Yes,14,3.0,2,80,0,6.0,4,3,4.0,2,0,3
,No,Travel_Rarely,1389,Research & Development,21,4.0,Life Sciences,1,20,2.0,Female,51,4,3,Manufacturing Director,1.0,Divorced,9980.0,10195,1,Y,No,11,,3,80,1,,1,3,10.0,9,8,8
32.0,No,Travel_Rarely,334,Research & Development,5,2.0,Life Sciences,1,21,1.0,Male,80,4,1,Research Scientist,2.0,Divorced,3298.0,15053,0,Y,Yes,12,3.0,4,80,2,7.0,5,2,,2,0,5
,No,Non-Travel,1123,Research & Development,16,2.0,Medical,1,22,4.0,Male,96,4,1,Laboratory Technician,4.0,Divorced,,7324,1,Y,Yes,13,3.0,2,80,2,1.0,2,2,1.0,0,0,0
53.0,,Travel_Rarely,1219,Sales,2,,Life Sciences,1,23,1.0,Female,78,2,4,,4.0,,,22021,2,Y,No,16,,3,80,0,,3,3,25.0,8,3,7
38.0,,Travel_Rarely,371,Research & Development,2,3.0,Life Sciences,1,24,4.0,Male,45,3,1,,,Single,3944.0,4306,5,Y,Yes,11,3.0,3,80,0,,3,3,3.0,2,1,2
24.0,,Non-Travel,673,Research & Development,11,2.0,Other,1,26,,Female,96,4,2,Manufacturing Director,3.0,Divorced,4011.0,8232,0,Y,No,18,3.0,4,80,1,5.0,5,2,4.0,2,1,3
,Yes,Travel_Rarely,1218,,9,4.0,Life Sciences,1,27,3.0,Male,82,2,1,Sales Representative,,Single,,6986,7,Y,No,23,4.0,2,80,0,,4,3,5.0,3,0,3
,No,Travel_Rarely,419,,7,4.0,Life Sciences,1,28,1.0,Female,53,3,3,,2.0,Single,11994.0,21293,0,Y,No,11,3.0,3,80,0,13.0,4,3,,6,2,11
21.0,No,Travel_Rarely,391,Research & Development,15,2.0,Life Sciences,1,30,3.0,Male,96,3,1,,4.0,Single,,19281,1,Y,No,14,3.0,4,80,0,0.0,6,3,0.0,0,0,0
,Yes,Travel_Rarely,699,Research & Development,6,,Medical,1,31,,Male,83,3,1,,,Single,2960.0,17102,2,Y,No,11,,3,80,0,8.0,2,3,,2,1,3
53.0,,Travel_Rarely,1282,Research & Development,5,3.0,Other,1,32,3.0,Female,58,3,5,,,,19094.0,10735,4,Y,No,11,3.0,4,80,1,26.0,3,2,,13,4,8
,Yes,Travel_Frequently,1125,Research & Development,16,,Life Sciences,1,33,,Female,72,1,1,Research Scientist,1.0,,3919.0,4681,1,Y,Yes,22,,2,80,0,10.0,5,3,,2,6,7
,No,Travel_Rarely,691,,8,4.0,Marketing,1,35,3.0,Male,48,3,2,Sales Executive,2.0,Married,6825.0,21173,0,Y,No,11,3.0,4,80,1,,2,3,9.0,7,4,2
44.0,No,Travel_Rarely,477,,7,,Medical,1,36,1.0,Female,42,2,3,,,Married,,2094,3,Y,No,14,3.0,4,80,1,24.0,4,3,22.0,6,5,17
,No,Travel_Rarely,705,Sales,2,4.0,Marketing,1,38,2.0,Female,83,3,5,Manager,1.0,,,22822,3,Y,No,12,3.0,4,80,0,22.0,2,2,2.0,2,2,1
,No,Travel_Rarely,924,Research & Development,2,,Medical,1,39,3.0,Male,78,3,1,Laboratory Technician,4.0,,,6670,4,Y,No,11,3.0,4,80,0,7.0,3,3,,1,0,0
44.0,,Travel_Rarely,1459,,10,4.0,Other,1,40,4.0,Male,41,3,2,Healthcare Representative,,,,19121,2,Y,Yes,13,3.0,4,80,0,,5,4,4.0,2,1,3
,,Travel_Rarely,125,,9,2.0,Medical,1,41,4.0,Male,83,2,1,,,Single,,16117,1,Y,No,13,3.0,1,80,0,,5,3,,0,1,8
39.0,Yes,Travel_Rarely,895,Sales,5,3.0,Technical Degree,1,42,4.0,Male,56,3,2,Sales Representative,,Married,2086.0,3335,3,Y,No,14,,3,80,1,19.0,6,4,1.0,0,0,0
24.0,Yes,Travel_Rarely,813,Research & Development,1,,Medical,1,45,2.0,Male,61,3,1,Research Scientist,4.0,Married,2293.0,3020,2,Y,Yes,16,3.0,1,80,1,6.0,2,2,2.0,0,2,0
,No,Travel_Rarely,1273,Research & Development,2,2.0,Medical,1,46,4.0,Female,72,4,1,Research Scientist,3.0,,2645.0,21923,1,Y,No,12,,4,80,2,6.0,3,2,,3,1,4
50.0,,Travel_Rarely,869,Sales,3,,Marketing,1,47,1.0,Male,86,2,1,Sales Representative,,,2683.0,3810,1,Y,Yes,14,3.0,3,80,0,3.0,2,3,3.0,2,0,2
35.0,,Travel_Rarely,890,,2,3.0,Marketing,1,49,4.0,Female,97,3,1,Sales Representative,4.0,Married,,9687,1,Y,No,13,3.0,1,80,0,,3,3,2.0,2,2,2
36.0,No,Travel_Rarely,852,,5,4.0,Life Sciences,1,51,2.0,Female,82,2,1,Research Scientist,1.0,,,13072,9,Y,Yes,14,3.0,4,80,1,6.0,3,4,1.0,1,0,0
33.0,No,Travel_Frequently,1141,Sales,1,3.0,Life Sciences,1,52,3.0,Female,42,4,2,Sales Executive,,Married,5376.0,3193,2,Y,No,19,3.0,1,80,2,10.0,3,3,5.0,3,1,3
,,Travel_Rarely,464,,4,2.0,Other,1,53,,Male,75,3,1,Laboratory Technician,,Divorced,,10910,1,Y,No,12,3.0,3,80,1,1.0,3,3,1.0,0,0,0
27.0,No,Travel_Rarely,1240,Research & Development,2,,Life Sciences,1,54,4.0,Female,33,3,1,Laboratory Technician,1.0,Divorced,,19715,1,Y,No,13,3.0,4,80,1,1.0,6,3,,0,0,0
26.0,Yes,Travel_Rarely,1357,Research & Development,25,,Life Sciences,1,55,1.0,Male,48,1,1,,3.0,Single,,10558,1,Y,No,12,,3,80,0,,2,2,,0,0,1
27.0,No,Travel_Frequently,994,Sales,8,,Life Sciences,1,56,4.0,Male,37,3,3,Sales Executive,3.0,Single,,2975,1,Y,No,15,,4,80,0,9.0,0,3,,8,1,7
30.0,,Travel_Frequently,721,,1,2.0,Medical,1,57,3.0,Female,58,3,2,,4.0,Single,4011.0,10781,1,Y,No,23,,4,80,0,,2,3,12.0,8,3,7
,Yes,Travel_Rarely,1360,Research & Development,12,,Technical Degree,1,58,,Female,49,3,5,,3.0,,,16280,1,Y,No,12,,4,80,0,23.0,0,3,22.0,15,15,8
,,Non-Travel,1065,Sales,23,4.0,Marketing,1,60,2.0,Male,72,3,2,Sales Executive,,,,10034,0,Y,No,20,4.0,3,80,0,10.0,2,3,,5,8,7
37.0,No,Travel_Rarely,408,Research & Development,19,2.0,Life Sciences,1,61,,Male,73,3,1,Research Scientist,2.0,Married,,10227,4,Y,No,21,4.0,1,80,0,8.0,1,3,,0,0,0
,No,Travel_Frequently,1211,,5,,Marketing,1,62,1.0,Male,98,3,2,,4.0,Single,5772.0,20445,4,Y,Yes,21,,3,80,0,14.0,4,3,,6,0,8
,,Travel_Rarely,1229,,8,1.0,Life Sciences,1,63,4.0,Male,36,4,1,Laboratory Technician,4.0,Married,2269.0,4892,1,Y,No,19,3.0,4,80,0,,2,3,1.0,0,0,1
48.0,,Travel_Rarely,626,,1,,Life Sciences,1,64,1.0,Male,98,2,3,Laboratory Technician,,,,19294,9,Y,Yes,13,3.0,4,80,0,,2,3,1.0,0,0,0
,Yes,Travel_Rarely,1434,Research & Development,5,,Technical Degree,1,65,,Male,50,3,1,,3.0,Single,3441.0,11179,1,Y,Yes,13,3.0,3,80,0,,3,2,2.0,2,2,2
,,Travel_Rarely,1488,Sales,1,,Marketing,1,68,,Female,75,3,2,Sales Executive,,Divorced,5454.0,4009,5,Y,Yes,21,4.0,3,80,1,9.0,2,2,,3,1,3
,No,Non-Travel,1097,,11,,Medical,1,70,3.0,Male,79,2,3,Healthcare Representative,1.0,Married,9884.0,8302,2,Y,Yes,13,3.0,3,80,1,10.0,3,3,,0,2,3
26.0,No,Travel_Rarely,1443,,23,3.0,Marketing,1,72,3.0,Female,47,2,2,,4.0,,4157.0,21436,7,Y,Yes,19,3.0,3,80,1,5.0,2,2,2.0,2,0,0
33.0,No,Travel_Frequently,515,,1,,Life Sciences,1,73,,Female,98,3,3,Research Director,4.0,,,15146,1,Y,Yes,12,,3,80,0,,1,3,15.0,14,8,12
,No,Travel_Frequently,853,,18,5.0,Life Sciences,1,74,,Male,71,3,3,Sales Executive,1.0,,9069.0,11031,1,Y,No,22,,4,80,1,,3,2,9.0,8,1,8
,No,Travel_Rarely,1142,Research & Development,23,,Medical,1,75,3.0,Female,30,3,1,,,Married,4014.0,16002,3,Y,Yes,15,3.0,3,80,1,4.0,3,3,,2,2,2
31.0,,Travel_Rarely,655,,7,4.0,Life Sciences,1,76,,Male,48,3,2,Laboratory Technician,,Divorced,,9528,3,Y,No,22,,4,80,1,10.0,3,2,7.0,7,1,7
37.0,,Travel_Rarely,1115,Research & Development,1,4.0,Life Sciences,1,77,,Male,51,2,2,,,,5993.0,2689,1,Y,No,18,,3,80,1,7.0,2,4,7.0,5,0,7
,,Travel_Rarely,427,Research & Development,1,,Medical,1,78,,Male,33,3,2,,4.0,,,10877,1,Y,Yes,22,,2,80,1,,3,3,9.0,8,7,8
38.0,,Travel_Frequently,653,Research & Development,29,5.0,Life Sciences,1,79,4.0,Female,50,3,2,Laboratory Technician,,Single,2406.0,5456,1,Y,No,11,,4,80,0,,2,3,10.0,3,9,9
50.0,No,Travel_Rarely,989,Research & Development,7,2.0,Medical,1,80,,Female,43,2,5,Research Director,,,18740.0,16701,5,Y,Yes,12,3.0,4,80,1,,2,2,,3,13,8
59.0,,Travel_Rarely,1435,Sales,25,3.0,Life Sciences,1,81,1.0,Female,99,3,3,,,,7637.0,2354,7,Y,No,11,,4,80,0,28.0,3,2,,16,7,9
36.0,No,Travel_Rarely,1223,Research & Development,8,3.0,Technical Degree,1,83,,Female,59,3,3,Healthcare Representative,3.0,,,8202,1,Y,No,13,,2,80,3,17.0,2,3,17.0,14,12,8
,,Travel_Rarely,836,Research & Development,8,3.0,Medical,1,84,4.0,Female,33,3,4,,3.0,,,19730,2,Y,Yes,14,3.0,3,80,3,,2,3,5.0,0,0,2
36.0,No,Travel_Frequently,1195,Research & Development,11,3.0,Life Sciences,1,85,2.0,Male,95,2,2,Manufacturing Director,2.0,Single,6499.0,22656,1,Y,No,13,3.0,3,80,0,6.0,3,3,6.0,5,0,3
,No,Travel_Rarely,1339,Research & Development,7,3.0,Life Sciences,1,86,2.0,Male,59,3,3,Research Scientist,1.0,,9724.0,18787,2,Y,No,17,,3,80,1,25.0,2,3,1.0,0,0,0
35.0,,Travel_Frequently,664,Research & Development,1,,Medical,1,88,,Male,79,3,1,Research Scientist,1.0,,,5868,4,Y,No,13,3.0,4,80,1,,2,2,,2,1,2
36.0,Yes,Travel_Rarely,318,Research & Development,9,,Medical,1,90,4.0,Male,79,2,1,Research Scientist,,,,21777,0,Y,Yes,17,3.0,1,80,1,,0,2,1.0,0,0,0
,No,Travel_Frequently,1225,Sales,1,1.0,Life Sciences,1,91,,Female,57,2,2,,,Single,5473.0,24668,7,Y,No,11,,4,80,0,20.0,2,2,4.0,3,1,3
29.0,No,Travel_Rarely,1328,Research & Development,2,3.0,Life Sciences,1,94,,Male,76,3,1,Research Scientist,2.0,Married,,4956,0,Y,No,23,,4,80,1,6.0,3,3,5.0,4,0,4
31.0,No,Travel_Rarely,1082,,1,4.0,Medical,1,95,3.0,Male,87,3,1,,,Single,2501.0,18775,1,Y,No,17,3.0,2,80,0,1.0,4,3,1.0,1,1,0
,,Travel_Rarely,548,,1,,Life Sciences,1,96,,Male,66,3,2,,2.0,,6220.0,7346,1,Y,No,17,3.0,2,80,2,10.0,3,3,10.0,4,0,9
36.0,No,Travel_Rarely,132,Research & Development,6,,Life Sciences,1,97,2.0,Female,55,4,1,Laboratory Technician,4.0,Married,3038.0,22002,3,Y,No,12,3.0,2,80,0,,3,3,,0,0,0
31.0,No,Travel_Rarely,746,Research & Development,8,4.0,Life Sciences,1,98,,Female,61,3,2,Manufacturing Director,4.0,Single,4424.0,20682,1,Y,No,23,,4,80,0,,2,3,11.0,7,1,8
35.0,,Travel_Rarely,776,,1,4.0,Marketing,1,100,,Male,32,2,2,,,Single,4312.0,23016,0,Y,No,14,3.0,2,80,0,16.0,2,3,15.0,13,2,8
,No,Travel_Rarely,193,,6,4.0,Other,1,101,4.0,Male,52,3,3,,1.0,,13245.0,15067,4,Y,Yes,14,,2,80,0,17.0,3,4,0.0,0,0,0
37.0,No,Travel_Rarely,397,Research & Development,7,4.0,Medical,1,102,,Male,30,3,3,Research Director,,,13664.0,25258,4,Y,No,13,,1,80,0,,3,4,5.0,2,0,2
46.0,No,Travel_Rarely,945,,5,2.0,Medical,1,103,,Male,80,3,2,,2.0,,5021.0,10425,8,Y,Yes,22,4.0,4,80,1,,2,3,,2,0,2
,,Travel_Rarely,852,,1,,Life Sciences,1,104,,Male,55,2,2,Laboratory Technician,4.0,Married,,15998,1,Y,Yes,12,3.0,3,80,2,10.0,1,2,10.0,8,3,0
,No,Travel_Rarely,1214,,1,3.0,Medical,1,105,2.0,Male,30,2,1,,,,,26278,1,Y,No,18,,1,80,0,6.0,3,3,6.0,4,0,4
55.0,No,Travel_Rarely,111,,1,2.0,Life Sciences,1,106,,Male,70,3,3,,,,,18092,3,Y,No,14,3.0,4,80,1,24.0,4,3,,0,1,0
38.0,,Non-Travel,573,Research & Development,6,3.0,Medical,1,107,,Female,79,1,2,,,Divorced,5329.0,15717,7,Y,Yes,12,3.0,4,80,3,17.0,3,3,,11,1,9
,,Travel_Rarely,1153,,1,2.0,Medical,1,110,1.0,Male,94,3,2,,,Married,4325.0,17736,1,Y,No,15,3.0,3,80,0,,2,3,,2,1,3
,No,Travel_Rarely,1400,,7,,Life Sciences,1,112,,Male,49,1,3,Manufacturing Director,,Single,7260.0,21698,4,Y,No,11,3.0,1,80,0,37.0,3,2,6.0,4,0,2
,No,Travel_Rarely,541,,2,,Technical Degree,1,113,3.0,Male,62,3,1,,1.0,Divorced,2322.0,9518,3,Y,No,13,3.0,3,80,1,3.0,3,3,0.0,0,0,0
,,Travel_Rarely,432,,9,4.0,Life Sciences,1,116,,Male,96,3,1,Laboratory Technician,,Married,,18725,3,Y,No,23,4.0,2,80,2,10.0,4,3,4.0,2,0,3
30.0,,Travel_Rarely,288,Research & Development,2,3.0,Life Sciences,1,117,3.0,Male,99,2,2,Healthcare Representative,,,,15830,1,Y,No,19,3.0,1,80,3,11.0,3,3,11.0,10,10,8
46.0,Yes,Travel_Rarely,669,Sales,9,2.0,Medical,1,118,3.0,Male,64,2,3,,,Single,,13596,1,Y,No,16,,4,80,0,,3,3,9.0,8,4,7
40.0,,Travel_Frequently,530,Research & Development,1,,Life Sciences,1,119,3.0,Male,78,2,4,Healthcare Representative,,,13503.0,14115,1,Y,No,22,4.0,4,80,1,22.0,3,2,,3,11,11
51.0,,Travel_Rarely,632,Sales,21,4.0,Marketing,1,120,3.0,Male,71,3,2,Sales Executive,,,5441.0,8423,0,Y,Yes,22,4.0,4,80,0,11.0,2,1,,7,1,0
30.0,,Travel_Rarely,1334,Sales,4,2.0,Medical,1,121,3.0,Female,63,2,2,Sales Executive,2.0,Divorced,5209.0,19760,1,Y,Yes,12,,2,80,3,,4,2,,8,2,7
46.0,No,Travel_Frequently,638,Research & Development,1,,Medical,1,124,,Male,40,2,3,Healthcare Representative,,Married,10673.0,3142,2,Y,Yes,13,,3,80,1,21.0,5,2,10.0,9,9,5
,No,Travel_Rarely,1093,,6,4.0,Medical,1,125,2.0,Male,87,3,2,Sales Executive,3.0,Single,,24301,1,Y,No,16,3.0,1,80,0,12.0,0,3,11.0,8,5,7
54.0,No,Travel_Rarely,1217,Research & Development,2,4.0,Technical Degree,1,126,1.0,Female,60,3,3,,3.0,Married,13549.0,24001,9,Y,No,12,3.0,1,80,1,,5,1,,3,0,3
24.0,No,Travel_Rarely,1353,,3,2.0,Other,1,128,1.0,Female,33,3,2,Sales Executive,,Married,4999.0,17519,0,Y,No,21,,1,80,1,,2,2,3.0,2,0,2
28.0,,Non-Travel,120,Sales,4,3.0,Medical,1,129,2.0,Male,43,3,2,Sales Executive,3.0,,4221.0,8863,1,Y,No,15,3.0,2,80,0,5.0,3,4,5.0,4,0,4
,No,Travel_Rarely,682,,10,4.0,Medical,1,131,4.0,Male,37,3,4,Sales Executive,3.0,,,24409,0,Y,No,13,,3,80,0,,1,2,37.0,10,1,8
44.0,No,Non-Travel,489,,23,3.0,Medical,1,132,2.0,Male,67,3,2,,2.0,,2042.0,25043,4,Y,No,12,3.0,3,80,1,,3,4,3.0,2,1,2
37.0,,Travel_Rarely,807,Human Resources,6,4.0,Human Resources,1,133,3.0,Male,63,3,1,,1.0,Divorced,2073.0,23648,4,Y,Yes,22,4.0,4,80,0,7.0,3,3,3.0,2,0,2
,,Travel_Rarely,827,Research & Development,1,,Life Sciences,1,134,,Male,71,3,1,Research Scientist,,Single,,15178,1,Y,No,13,3.0,4,80,0,,2,3,1.0,0,0,0
20.0,,Travel_Frequently,871,,6,3.0,Life Sciences,1,137,,Female,66,2,1,Laboratory Technician,,Single,,19783,1,Y,Yes,18,3.0,2,80,0,1.0,5,3,1.0,0,1,0
,No,Travel_Rarely,665,Research & Development,6,4.0,Other,1,138,1.0,Female,41,3,2,Research Scientist,3.0,,4809.0,12482,1,Y,No,14,,3,80,0,,3,3,,13,2,10
,,Non-Travel,1040,,2,,Life Sciences,1,139,,Male,100,2,2,Healthcare Representative,4.0,Divorced,,15850,5,Y,No,14,,4,80,1,,2,4,1.0,0,0,0
,No,Non-Travel,1420,Human Resources,2,4.0,Human Resources,1,140,3.0,Female,32,2,5,,,Married,18844.0,21922,9,Y,No,21,4.0,4,80,1,,3,3,,2,2,2
50.0,,Travel_Frequently,1115,Research & Development,1,3.0,Life Sciences,1,141,,Female,73,3,5,Research Director,2.0,,,9755,3,Y,Yes,19,3.0,1,80,0,28.0,1,2,8.0,3,0,7
,Yes,Travel_Rarely,240,Sales,5,3.0,Marketing,1,142,3.0,Male,46,2,2,Sales Executive,,,5744.0,26959,1,Y,Yes,11,,4,80,0,6.0,1,3,6.0,4,0,3
,,Travel_Rarely,1280,Research & Development,7,,Medical,1,143,,Male,64,2,1,Research Scientist,4.0,,2889.0,26897,1,Y,No,11,,3,80,2,2.0,2,3,2.0,2,2,1
,,Travel_Rarely,534,,15,3.0,Medical,1,144,,Female,59,3,1,,4.0,Single,,23785,1,Y,No,15,3.0,3,80,0,1.0,5,3,0.0,0,0,0
,No,Travel_Frequently,1456,,1,,Medical,1,145,1.0,Female,30,2,3,Healthcare Representative,,,,25796,3,Y,No,20,,3,80,0,23.0,1,2,,12,12,8
,,Travel_Frequently,658,Research & Development,7,3.0,Life Sciences,1,147,,Male,66,1,2,,3.0,Single,6074.0,22887,1,Y,Yes,24,4.0,4,80,0,9.0,3,3,9.0,7,0,6
54.0,No,Non-Travel,142,,26,,Human Resources,1,148,4.0,Female,30,4,4,,4.0,,,13871,2,Y,Yes,12,,3,80,0,23.0,3,3,,3,4,4
,No,Travel_Rarely,1127,Research & Development,18,,Life Sciences,1,150,2.0,Male,52,3,1,Laboratory Technician,3.0,,2774.0,13257,0,Y,No,12,,3,80,1,6.0,2,3,5.0,3,1,2
34.0,,Travel_Rarely,1031,,6,,Life Sciences,1,151,3.0,Female,45,2,2,Research Scientist,2.0,Divorced,4505.0,15000,6,Y,No,15,,3,80,1,12.0,3,3,,0,0,0
37.0,No,Travel_Rarely,1189,,3,3.0,Life Sciences,1,152,3.0,Male,87,3,3,Sales Executive,4.0,,,14506,2,Y,No,12,,1,80,0,,3,3,5.0,3,1,3
34.0,,Travel_Rarely,1354,,5,3.0,Medical,1,153,3.0,Female,45,2,3,,,,,5615,2,Y,No,12,3.0,4,80,0,,6,3,,10,5,8
36.0,No,Travel_Frequently,1467,,11,2.0,Technical Degree,1,154,2.0,Female,92,3,3,Sales Executive,4.0,,9738.0,22952,0,Y,No,14,3.0,3,80,1,10.0,6,3,,7,2,8
36.0,No,Travel_Rarely,922,,3,,Life Sciences,1,155,1.0,Female,39,3,1,Laboratory Technician,4.0,,2835.0,2561,5,Y,No,22,,1,80,1,,2,3,,0,0,0
43.0,,Travel_Frequently,394,,26,2.0,Life Sciences,1,158,3.0,Male,92,3,4,,,,,19494,1,Y,Yes,12,3.0,4,80,2,,3,4,25.0,12,4,12
,,Travel_Frequently,1312,Research & Development,23,3.0,Life Sciences,1,159,1.0,Male,96,1,1,Research Scientist,,,2613.0,22310,1,Y,No,25,,3,80,3,10.0,2,2,,7,0,9
33.0,No,Non-Travel,750,Sales,22,2.0,Marketing,1,160,3.0,Male,95,3,2,,2.0,Married,,15480,0,Y,No,13,3.0,1,80,1,,2,4,,7,0,7
56.0,,Travel_Rarely,441,Research & Development,14,,Life Sciences,1,161,,Female,72,3,1,Research Scientist,,Married,4963.0,4510,9,Y,Yes,18,,1,80,3,,2,3,,4,4,3
,No,Travel_Rarely,684,,6,,Life Sciences,1,162,1.0,Male,51,3,5,Research Director,,Single,19537.0,6462,7,Y,No,13,3.0,3,80,0,23.0,5,3,,18,15,15
31.0,Yes,Travel_Rarely,249,Sales,6,,Life Sciences,1,163,2.0,Male,76,1,2,Sales Executive,3.0,,,20739,4,Y,Yes,18,3.0,2,80,0,12.0,3,2,7.0,7,7,7
26.0,,Travel_Rarely,841,Research & Development,6,,Other,1,164,3.0,Female,46,2,1,,2.0,,2368.0,23300,1,Y,No,19,3.0,3,80,0,,3,2,5.0,4,4,3
58.0,,Travel_Rarely,147,Research & Development,23,4.0,Medical,1,165,4.0,Female,94,3,3,,,Married,,3465,1,Y,No,12,3.0,4,80,1,40.0,3,2,40.0,10,15,6
,,Travel_Rarely,528,Sales,22,1.0,Marketing,1,167,,Male,50,3,1,,3.0,,,26820,1,Y,Yes,19,3.0,4,80,0,,2,2,,0,0,0
22.0,,Travel_Rarely,594,Research & Development,2,,Technical Degree,1,169,3.0,Male,100,3,1,,4.0,,,19299,0,Y,No,14,,3,80,1,3.0,2,3,,1,2,1
49.0,No,Travel_Rarely,470,Research & Development,20,,Medical,1,170,3.0,Female,96,3,2,,,Married,,5549,1,Y,No,14,3.0,3,80,0,,2,2,,11,5,11
43.0,No,Travel_Frequently,957,Research & Development,28,3.0,Medical,1,171,,Female,72,4,1,Research Scientist,3.0,Single,,16090,4,Y,No,12,3.0,4,80,0,18.0,2,3,,2,1,2
,No,Travel_Frequently,809,Sales,12,3.0,Marketing,1,174,3.0,Female,77,3,3,,4.0,Single,,6645,4,Y,No,11,3.0,4,80,0,16.0,3,3,2.0,2,2,1
31.0,Yes,Travel_Rarely,542,Sales,20,3.0,Life Sciences,1,175,2.0,Female,71,1,2,,,,4559.0,24788,3,Y,Yes,11,3.0,3,80,1,,2,3,2.0,2,2,2
,No,Travel_Rarely,802,Sales,9,1.0,Life Sciences,1,176,3.0,Male,96,3,3,Sales Executive,3.0,Divorced,,21196,3,Y,Yes,13,3.0,3,80,1,,2,3,9.0,7,0,7
26.0,,Travel_Rarely,1355,Human Resources,25,1.0,Life Sciences,1,177,3.0,Female,61,3,1,Human Resources,3.0,,2942.0,8916,1,Y,No,23,4.0,4,80,1,8.0,3,3,,7,5,7
36.0,,Travel_Rarely,216,Research & Development,6,,Medical,1,178,2.0,Male,84,3,2,,2.0,,4941.0,2819,6,Y,No,20,,4,80,2,7.0,0,3,,2,0,1
,Yes,Travel_Frequently,1150,,8,4.0,Life Sciences,1,179,1.0,Male,53,1,3,Manufacturing Director,,Single,,25150,2,Y,No,15,,4,80,0,18.0,2,3,4.0,2,0,3
,No,Travel_Rarely,1329,,4,,Life Sciences,1,182,4.0,Female,47,2,2,,3.0,Married,,14590,4,Y,No,14,3.0,3,80,1,17.0,1,4,,11,5,9
25.0,No,Travel_Rarely,959,,28,,Life Sciences,1,183,1.0,Male,41,2,2,Sales Executive,,,8639.0,24835,2,Y,No,18,3.0,4,80,0,6.0,3,3,,2,2,2
